community,white_cnt,white_pct,black_cnt,black_pct,native_cnt,native_pct,asian_cnt,asian_pct,other_cnt,other_pct,two_or_more_cnt,two_or_more_pct,hispanic_cnt,hispanic_pct,of_color_cnt,of_color_pct,URL
calhoun-isles,"27,911",86.1%,"1,591",4.9%,suppressed,,"1,080",3.3%,416,1.3%,"1,309",4.0%,"1,166",3.6%,"4,512",13.9%,http://www.mncompass.org/profiles/communities/minneapolis/calhoun-isles
camden,"13,565",44.1%,"10,677",34.7%,343,1.1%,"3,500",11.4%,691,2.2%,"1,953",6.4%,"2,360",7.7%,"17,164",55.9%,http://www.mncompass.org/profiles/communities/minneapolis/camden
central,"23,384",66.2%,"7,133",20.2%,405,1.1%,"2,410",6.8%,410,1.2%,"1,564",4.4%,"1,645",4.7%,"11,928",33.8%,http://www.mncompass.org/profiles/communities/minneapolis/central
longfellow,"20,399",70.3%,"5,521",19.0%,290,1.0%,815,2.8%,901,3.1%,"1,072",3.7%,"2,083",7.2%,"8,613",29.7%,http://www.mncompass.org/profiles/communities/minneapolis/longfellow
near-north,"8,264",23.0%,"17,163",47.9%,629,1.8%,"5,493",15.3%,"1,864",5.2%,"2,448",6.8%,"3,784",10.5%,"27,604",77.0%,http://www.mncompass.org/profiles/communities/minneapolis/near-north
nokomis,"30,885",79.6%,"3,507",9.0%,629,1.6%,776,2.0%,"1,214",3.1%,"1,779",4.6%,"2,160",5.6%,"7,905",20.4%,http://www.mncompass.org/profiles/communities/minneapolis/nokomis
northeast,"28,051",74.9%,"3,921",10.5%,674,1.8%,"1,035",2.8%,"1,999",5.3%,"1,793",4.8%,"3,989",10.6%,"9,422",25.1%,http://www.mncompass.org/profiles/communities/minneapolis/northeast
phillips,"6,310",28.6%,"9,606",43.5%,"1,255",5.7%,757,3.4%,"3,400",15.4%,750,3.4%,"5,709",25.9%,"15,768",71.4%,http://www.mncompass.org/profiles/communities/minneapolis/phillips
powderhorn,"33,738",59.0%,"11,305",19.8%,787,1.4%,"1,387",2.4%,"7,056",12.3%,"2,876",5.0%,"13,036",22.8%,"23,438",41.0%,http://www.mncompass.org/profiles/communities/minneapolis/powderhorn
southwest,"42,747",86.0%,"2,289",4.6%,suppressed,,"1,650",3.3%,959,1.9%,"1,842",3.7%,"2,021",4.1%,"6,986",14.0%,http://www.mncompass.org/profiles/communities/minneapolis/southwest
university,"29,871",63.5%,"7,760",16.5%,474,1.0%,"6,578",14.0%,484,1.0%,"1,870",4.0%,"1,849",3.9%,"17,166",36.5%,http://www.mncompass.org/profiles/communities/minneapolis/university
