Community,Website_Link,IncomeLess35000_count,IncomeLess35000_percent,IncomeLess35to49_count,IncomeLess35to49_percent,IncomeLess50to74_count,IncomeLess50to74_percent,IncomeLess75to99_count,IncomeLess75to99_percent,Income100Plus_count,Income100Plus_percent,Median_Income_Total
Calhoun Isles,http://www.mncompass.org/profiles/communities/minneapolis/calhoun-isles,"
                        3,475
                      ","
                        19.8%
                      ","
                        2,146
                      ","
                        12.2%
                      ","
                        3,283
                      ","
                        18.7%
                      ","
                        2,182
                      ","
                        2,182
                      ","
                        6,494
                      ","
                        36.9%
                      ","
                        $ 73,755
                      "
Camden,http://www.mncompass.org/profiles/communities/minneapolis/camden,"
                        3,916
                      ","
                        35.6%
                      ","
                        1,889
                      ","
                        17.2%
                      ","
                        2,103
                      ","
                        19.1%
                      ","
                        1,271
                      ","
                        1,271
                      ","
                        1,817
                      ","
                        16.5%
                      ","
                        $ 51,761
                      "
Central,http://www.mncompass.org/profiles/communities/minneapolis/central,"
                        8,478
                      ","
                        39.6%
                      ","
                        1,718
                      ","
                        8.0%
                      ","
                        3,066
                      ","
                        14.3%
                      ","
                        2,112
                      ","
                        2,112
                      ","
                        6,021
                      ","
                        28.1%
                      ","
                        $ 46,190
                      "
Longfellow,http://www.mncompass.org/profiles/communities/minneapolis/longfellow,"
                        4,368
                      ","
                        32.6%
                      ","
                        1,509
                      ","
                        11.3%
                      ","
                        2,273
                      ","
                        17.0%
                      ","
                        1,575
                      ","
                        1,575
                      ","
                        3,663
                      ","
                        27.4%
                      ","
                        $ 60,983
                      "
Near North,http://www.mncompass.org/profiles/communities/minneapolis/near-north,"
                        5,002
                      ","
                        45.1%
                      ","
                        1,540
                      ","
                        13.9%
                      ","
                        1,802
                      ","
                        16.3%
                      ","
                        1,166
                      ","
                        1,166
                      ","
                        1,574
                      ","
                        14.2%
                      ","
                        $ 57,634
                      "
Nokomis,http://www.mncompass.org/profiles/communities/minneapolis/nokomis,"
                        2,584
                      ","
                        16.0%
                      ","
                        1,514
                      ","
                        9.4%
                      ","
                        2,817
                      ","
                        17.4%
                      ","
                        2,322
                      ","
                        2,322
                      ","
                        6,910
                      ","
                        42.8%
                      ","
                        $ 80,461
                      "
Northeast,http://www.mncompass.org/profiles/communities/minneapolis/northeast,"
                        4,821
                      ","
                        28.7%
                      ","
                        2,012
                      ","
                        12.0%
                      ","
                        2,754
                      ","
                        16.4%
                      ","
                        2,381
                      ","
                        2,381
                      ","
                        4,807
                      ","
                        28.7%
                      ","
                        $ 57,480
                      "
Phillips,http://www.mncompass.org/profiles/communities/minneapolis/phillips,"
                        4,055
                      ","
                        55.9%
                      ","
                        1,086
                      ","
                        15.0%
                      ","
                        1,106
                      ","
                        15.2%
                      ","
                        429
                      ","
                        429
                      ","
                        578
                      ","
                        8.0%
                      ","
                        $ 36,646
                      "
Powderhorn,http://www.mncompass.org/profiles/communities/minneapolis/powderhorn,"
                        7,686
                      ","
                        33.4%
                      ","
                        3,273
                      ","
                        14.2%
                      ","
                        4,413
                      ","
                        19.2%
                      ","
                        2,936
                      ","
                        2,936
                      ","
                        4,737
                      ","
                        20.6%
                      ","
                        $ 54,537
                      "
Southwest,http://www.mncompass.org/profiles/communities/minneapolis/southwest,"
                        2,933
                      ","
                        14.3%
                      ","
                        1,680
                      ","
                        8.2%
                      ","
                        2,679
                      ","
                        13.1%
                      ","
                        2,487
                      ","
                        2,487
                      ","
                        10,739
                      ","
                        52.3%
                      ","
                        $ 110,689
                      "
University,http://www.mncompass.org/profiles/communities/minneapolis/university,"
                        7,913
                      ","
                        50.8%
                      ","
                        2,270
                      ","
                        14.6%
                      ","
                        1,958
                      ","
                        12.6%
                      ","
                        1,164
                      ","
                        1,164
                      ","
                        2,286
                      ","
                        14.7%
                      ","
                        $ 55,647
                      "
