,neighborhood,neighborhood_id,police_force_incidents_count
0,Armatage,1,36
1,Audubon Park,10,165
2,Bancroft,23,99
3,Beltrami,11,118
4,Bottineau,12,96
5,Bryant,24,84
6,Bryn Mawr,31,37
7,Camden Industrial,0,27
8,Cedar - Isles - Dean,33,26
9,Cedar Riverside,49,326
10,Central,25,490
11,Cleveland,41,315
12,Columbia,13,59
13,Como,50,186
14,Cooper,56,61
15,Corcoran,26,221
16,Diamond Lake,61,61
17,Downtown East,72,190
18,Downtown West,73,7680
19,ECCO,35,72
20,East Harriet,2,59
21,East Isles,34,105
22,East Phillips,78,636
23,Elliot Park,74,465
24,Ericsson,62,53
25,Field,63,48
26,Folwell,42,889
27,Fulton,3,62
28,Hale,64,36
29,Harrison,82,364
30,Hawthorne,83,1301
31,Hiawatha,57,98
32,Holland,14,314
33,Howe,58,129
34,Humboldt Indust Area,43,13
35,Jordan,84,1428
36,Keewaydin,65,38
37,Kenny,4,14
38,Kenwood,36,36
39,King Field,5,191
40,Lind - Bohanon,44,249
41,Linden Hills,6,60
42,Logan Park,15,111
43,Longfellow,59,533
44,Loring Park,75,531
45,Lowry Hill,37,103
46,Lowry Hill East,38,711
47,Lyndale,27,427
48,Lynnhurst,7,50
49,Marcy Holmes,51,590
50,Marshall Terrace,16,62
51,Mckinley,45,439
52,Mid City Industrial Ar,52,61
53,Midtown Phillips,79,496
54,Minnehaha,66,61
55,Morris Park,67,46
56,Near - North,85,1278
57,Nicollet Is/East Bank,53,151
58,North Loop,76,534
59,Northeast Park,17,104
60,Northrop,68,73
61,Page,69,27
62,Phillips West,80,481
63,Powderhorn Park,28,423
64,Prospect Park - East River Road,54,179
65,Regina,70,69
66,Seward,60,235
67,Sheridan,18,120
68,Shingle Creek,46,107
69,South Uptown,32,216
70,St Anthony East,19,142
71,St Anthony West,20,133
72,Standish,29,148
73,Steven's Square - Loring Heights,77,312
74,Sumner - Glenwood,86,139
75,Tangletown,8,88
76,University,55,95
77,Ventura Village,81,797
78,Victory,47,208
79,Waite Park,21,119
80,Webber - Camden,48,485
81,Wenonah,71,129
82,West Calhoun,39,44
83,Whittier,30,690
84,Willard - Hay,87,985
85,Windom,9,106
86,Windom Park,22,139
