,neighborhood_id,total_cnt,white_pct,black_pct,native_pct,asian_pct,other_pct,two_or_more_pct,hispanic_pct,of_color_pct
0,1,5108.0,0.845,,,,,0.036000000000000004,,0.15505090054815976
1,10,5117.0,0.7879999999999999,0.075,,,,0.059000000000000004,0.08800000000000001,0.21164744967754542
2,23,3544.0,0.7340000000000001,0.11599999999999999,,0.021,,0.078,0.147,0.26608352144469527
3,33,3195.414847161572,0.9159999999999999,,,,,,,0.08400000000000005
4,49,10065.0,0.32,0.511,,0.115,,0.039,0.027000000000000003,0.6801788375558867
5,25,8237.0,0.433,0.257,,0.024,0.21100000000000002,0.062,0.389,0.5669539881024644
6,50,5977.0,0.722,0.092,,0.149,,0.018000000000000002,0.071,0.2782332273715911
7,56,3695.0,0.8140000000000001,,,,,0.031,,0.18565629228687416
8,26,4479.0,0.636,0.17,,0.026000000000000002,0.079,0.055999999999999994,0.20600000000000002,0.36392051797276176
9,61,5764.0,0.768,0.113,,,,,0.084,0.23160999306037475
10,73,8083.0,0.601,0.222,0.022000000000000002,0.11199999999999999,,0.038,0.035,0.39948039094395643
11,2,3606.0,0.861,,,,,0.057999999999999996,0.044000000000000004,0.1386577925679423
12,34,3750.281214848144,0.889,,,0.027999999999999997,,,,0.11099999999999999
13,74,6429.0,0.58,0.307,0.012,0.057,,0.025,0.034,0.4199720018665422
14,62,3472.0,0.851,,,0.027999999999999997,,0.038,0.039,0.14890552995391704
15,42,5742.0,0.326,0.46,,0.159,,0.044000000000000004,0.057999999999999996,0.6738070358760014
16,3,6355.0,0.9159999999999999,0.023,,0.024,,0.028999999999999998,0.013999999999999999,0.08418568056648308
17,83,4717.0,0.218,0.462,,0.185,0.066,0.037000000000000005,0.102,0.7820648717405131
18,57,5856.0,0.816,0.10400000000000001,,0.032,,0.04,0.032,0.1835724043715847
19,14,4785.0,0.546,0.151,0.047,,0.155,0.08,0.198,0.45391849529780565
20,58,6546.0,0.7959999999999999,0.11199999999999999,,0.025,0.018000000000000002,0.045,0.073,0.20409410326917202
21,84,8585.0,0.175,0.451,,0.205,0.08,0.085,0.132,0.8246942341292953
22,4,3850.641773628938,0.857,,,,,,,0.143
23,5,7543.0,0.8270000000000001,0.048,,0.034,0.043,0.044000000000000004,0.066,0.17287551372133103
24,44,5448.0,0.42700000000000005,0.28,,0.131,,0.14800000000000002,0.066,0.5726872246696035
25,6,7726.0,0.904,,,0.024,,0.034,,0.09642764690654931
26,59,5060.0,0.645,0.158,,0.027999999999999997,0.081,0.055,0.174,0.3551383399209486
27,75,9012.0,0.7340000000000001,0.138,,0.057999999999999996,,0.054000000000000006,0.064,0.26553484243231246
28,37,3896.0,0.843,0.035,,0.035,,0.059000000000000004,,0.15682751540041068
29,38,7140.0,0.7709999999999999,0.133,,0.039,,0.037000000000000005,0.057,0.22857142857142856
30,27,7134.0,0.588,0.214,,0.027000000000000003,0.10400000000000001,0.059000000000000004,0.217,0.41183067003083823
31,7,5797.0,0.887,,,,,0.039,0.027000000000000003,0.11298947731585303
32,51,13969.0,0.762,0.065,,0.098,,0.045,0.049,0.2383134082611497
33,79,5319.0,0.396,0.368,,0.040999999999999995,0.163,0.027000000000000003,0.317,0.6042489189697312
34,66,4123.0,0.8079999999999999,0.09699999999999999,,0.015,,0.069,,0.19185059422750425
35,85,7241.0,0.154,0.563,,0.155,0.049,0.057,0.08,0.8460157436818119
36,76,6164.0,0.763,0.139,,0.039,,0.037000000000000005,0.042,0.23685918234912395
37,68,4671.0,0.7909999999999999,0.078,,0.011000000000000001,,0.033,0.067,0.2091629201455791
38,80,5457.0,0.263,0.531,,,0.14400000000000002,0.032,0.19699999999999998,0.736668499175371
39,28,9908.0,0.564,0.18,,0.013000000000000001,0.18600000000000003,0.038,0.327,0.43621316108195396
40,54,14027.0,0.672,0.071,0.006999999999999999,0.19699999999999998,0.009000000000000001,0.043,0.025,0.3275825194268197
41,60,7856.0,0.527,0.426,0.006,0.017,,0.019,0.016,0.4733961303462322
42,18,3039.0,0.7290000000000001,0.16899999999999998,,,,0.039,0.099,0.2711418229680816
43,32,5904.0,0.86,0.045,,0.039,,0.038,0.040999999999999995,0.1399051490514905
44,29,6486.0,0.778,0.073,,0.017,,0.062,0.11,0.2215541165587419
45,77,3834.0,0.633,0.223,,0.04,,0.083,0.067,0.36724047991653624
46,8,4512.0,0.88,,,,,,0.042,0.11945921985815602
47,81,6431.0,0.252,0.514,0.06,,0.107,0.05,0.201,0.7482506608614523
48,47,4636.0,0.6759999999999999,0.18899999999999997,,,,0.059000000000000004,,0.3237704918032787
49,21,5483.0,0.86,,,,,0.037000000000000005,0.063,0.1400693051249316
50,48,5434.0,0.439,0.395,,0.07200000000000001,,0.019,0.096,0.5609127714390872
51,71,4453.0,0.7290000000000001,0.095,,0.017,0.07400000000000001,0.081,0.098,0.2710532225465978
52,30,14169.0,0.608,0.235,,0.034,0.083,0.033,0.142,0.3916296139459383
53,87,9751.0,0.276,0.494,0.021,0.125,,0.07,0.09300000000000001,0.7236180904522613
54,9,5236.0,0.7390000000000001,0.124,,,,,0.083,0.26088617265087855
55,22,5445.0,0.8240000000000001,0.049,0.026000000000000002,0.036000000000000004,,0.035,0.068,0.17575757575757575
